"rank","profile","name","url","state","revenue","growth","industry","workers","founded","yrs_on_list","previous_workers","metro","city"
93,"https://www.inc.com/profile/your-home-sold-guaranteed-realty","Your Home Sold Guaranteed Realty","yourhomesoldguaranteedinc.com","CA",8.4,308.667,"Real Estate",12,2007,1,5,"Los Angeles","ROSEMEAD"
94,"https://www.inc.com/profile/calldrip","Calldrip","calldrip.com","UT",4.1,308.3387,"Software",50,2005,1,7,"Ogden-Clearfield, UT","Farmington"
95,"https://www.inc.com/profile/triton-commerce","Triton Commerce","tritoncommerce.com","MN",2.7,308.0838,"Advertising & Marketing",22,2012,2,8,"Minneapolis","Minneapolis"
96,"https://www.inc.com/profile/big-leap","Big Leap","bigleap.com","UT",8.2,307.5541,"Advertising & Marketing",63,2008,4,30,"Provo-Orem, UT","Lehi"
97,"https://www.inc.com/profile/wheelhouse-it","WheelHouse IT","wheelhouseit.com","FL",8.8,307.1926,"IT Management",61,2002,3,10,"Miami","Fort Lauderdale"
98,"https://www.inc.com/profile/cap-venture-group","CAP Venture Group","lstproperties.com","KY",3.8,306.9099,"Real Estate",7,2013,1,1,"Louisville/Jefferson County, KY-IN","Louisville"
99,"https://www.inc.com/profile/tokenex","TokenEx","tokenex.com","OK",4.7,306.4106,"Software",24,2010,2,4,"Oklahoma City, OK","EDMOND"
100,"https://www.inc.com/profile/old-dominion-mechanical","Old Dominion Mechanical","odmva.com","VA",4.4,306.1344,"Construction",31,2013,2,6,"Richmond, VA","Richmond"
101,"https://www.inc.com/profile/managed-energy-systems","Managed Energy Systems","energymes.com","KS",2.3,306.0336,"Energy",8,2013,1,3,"Kansas City, MO-KS","Leawood"
102,"https://www.inc.com/profile/kureiji","Kureiji","threadtank.com","CA",2.8,305.9316,"Retail",16,2014,1,5,"Los Angeles","South El Monte"
103,"https://www.inc.com/profile/wellex","Wellex","samedaystdtesting.com","MO",3.2,305.5026,"Health",8,2015,1,4,"St. Louis, MO-IL","St. Louis"
104,"https://www.inc.com/profile/dmd-products","DMD Products","lovehandle.com","TX",3.8,305.2533,"Consumer Products & Services",32,2014,1,3,"Houston","Rosharon"
105,"https://www.inc.com/profile/telco-connection","Telco Connection","telcoconnection.com","CA",3.5,304.614,"Telecommunications",2,2013,1,1,"Los Angeles","Coto de Caza"
106,"https://www.inc.com/profile/binary-defense","Binary Defense","binarydefense.com","OH",8.1,303.8537,"Security",64,2014,1,21,NA,"Stow"
107,"https://www.inc.com/profile/rankingsio","Rankings.io","rankings.io","IL",3.1,301.9811,"Advertising & Marketing",16,2013,2,5,"St. Louis, MO-IL","O'Fallon"
108,"https://www.inc.com/profile/select-communications","Select Communications","http://selectcommunications.com","TX",2.2,301.415,"Telecommunications",10,2014,1,3,"Austin","Austin"
109,"https://www.inc.com/profile/bookkeeper360","Bookkeeper360","bookkeeper360.com","NY",3,300.8732,"Financial Services",35,2012,2,15,"New York City","Woodbury"
110,"https://www.inc.com/profile/guaba","Guaba","xo.agency","CA",2.2,300.8358,"Advertising & Marketing",18,2014,1,6,"Los Angeles","Los Angeles"
111,"https://www.inc.com/profile/gasket-guy","Gasket Guy","gasketguy.com","GA",6.1,300.529,"Construction",6,1994,2,3,"Atlanta","Norcross"
112,"https://www.inc.com/profile/industrial-security-integrators","Industrial Security Integrators","dodsecurity.com","VA",5.7,300.5084,"Government Services",41,2010,2,8,"Washington, DC","Herndon"
113,"https://www.inc.com/profile/advanced-technological-solutions","Advanced Technological Solutions","atsdelivered.com","AL",3.6,300.0359,"IT System Development",31,2013,1,6,NA,"Prattville"
114,"https://www.inc.com/profile/triplepoint-environmental","Triplepoint Environmental","tpenv.com","IL",3.3,299.7893,"Environmental Services",8,2014,1,4,"Chicago","Oak Park"
115,"https://www.inc.com/profile/beddys","Beddy's","beddys.com","UT",6.8,299.1243,"Consumer Products & Services",10,2014,2,3,"Salt Lake City","West Jordan"
116,"https://www.inc.com/profile/capital-wealth-advisors","Capital Wealth Advisors","capitalwealthadvisors.com","FL",7.8,298.8792,"Financial Services",45,2004,3,19,NA,"Naples"
117,"https://www.inc.com/profile/closeriq","CloserIQ","closeriq.com","NY",2.3,298.0068,"Business Products & Services",28,2014,1,8,"New York City","New York"
118,"https://www.inc.com/profile/kamind-it","Kamind IT","http://kamind.com","OR",2.4,297.2431,"IT Management",9,2009,1,4,NA,"Lake Oswego"
119,"https://www.inc.com/profile/ascent-innovations","Ascent Innovations","ascent365.com","IL",3.4,296.8637,"IT System Development",38,2009,1,6,"Chicago","Schaumberg"
120,"https://www.inc.com/profile/itprotv","ITProTV","itpro.tv","FL",9,296.8634,"Education",68,2013,2,20,NA,"Gainesville"
121,"https://www.inc.com/profile/paragon-payroll","Paragon Payroll","paragonpayroll.com","TX",3.8,295.4346,"Business Products & Services",17,2007,1,10,"Dallas","Midlothian"
122,"https://www.inc.com/profile/fluentstream-technologies","FluentStream Technologies","fluentstream.com","CO",6.9,294.5348,"Telecommunications",41,2010,2,19,"Denver","Denver"
123,"https://www.inc.com/profile/youtech","Youtech","youtechagency.com","IL",5,294.0566,"Advertising & Marketing",40,2012,1,15,"Chicago","Naperville"
124,"https://www.inc.com/profile/kentech","Kentech","http://ekentech.com","IL",5.5,293.8781,"Security",45,2006,3,33,"Chicago","Chicago"
125,"https://www.inc.com/profile/osprey-management","Osprey Management","contractosprey.com","GA",9.1,293.29,"Construction",9,2001,1,2,"Atlanta","Marietta"
126,"https://www.inc.com/profile/matt-curtis-real-estate","Matt Curtis Real Estate","mattcurtisrealestate.com","AL",5.2,292.5211,"Real Estate",65,2009,3,20,"Huntsville, AL","Madison"
127,"https://www.inc.com/profile/restoration-1","Restoration 1","restoration1.com","TX",7.4,291.2758,"Construction",18,2008,1,4,NA,"Waco"
128,"https://www.inc.com/profile/amicus-enterprises","Amicus Enterprises","http://grizly.com","CA",5.9,290.5393,"Media",5,2014,1,2,"San Diego","Carlsbad"
129,"https://www.inc.com/profile/xtreme-park-adventures","Xtreme Park Adventures","xtremeparkadventures.com","NC",2.3,290.3408,"Consumer Products & Services",40,2009,2,15,"Durham, NC","durham"
130,"https://www.inc.com/profile/home-pride-construction","Home Pride Construction","homeprideinc.com","CA",2.5,289.9913,"Construction",21,2001,1,3,"San Francisco","Pacifica"
131,"https://www.inc.com/profile/sigma-software","SIGMA SOFTWARE","sigmasoftusa.com","TX",5,289.951,"IT System Development",45,2011,1,15,"Dallas","Dallas"
132,"https://www.inc.com/profile/no-limit-agency","No Limit Agency","1851franchise.com","IL",2,289.4093,"Software",9,2013,6,4,"Chicago","Chicago"
133,"https://www.inc.com/profile/advance-your-reach","Advance Your Reach","advanceyourreach.com","CO",4.8,288.2373,"Business Products & Services",10,2006,1,3,NA,"Colorado Springs"
134,"https://www.inc.com/profile/sleeping-giant-brewing-company","Sleeping Giant Brewing Company","sleepinggiantbrewing.com","CO",5.3,286.8987,"Food & Beverage",25,2014,1,13,"Denver","Denver"
135,"https://www.inc.com/profile/anemoi","Anemoi","http://anemoiservices.com","WV",2.4,286.7228,"Energy",27,2014,1,12,NA,"Morgantown"
136,"https://www.inc.com/profile/e-network-supply","E Network Supply","enetworksupply.com","IL",3.9,285.6183,"Telecommunications",8,2014,1,3,"Chicago","skokie"
137,"https://www.inc.com/profile/perceptive-recruiting","Perceptive Recruiting","perceptiverecruiting.com","SC",3,284.8984,"Business Products & Services",5,2014,1,2,NA,"Travelers Rest"
138,"https://www.inc.com/profile/ui-global-brands","UI Global Brands","uiglobalbrands.com","TX",2.8,284.7077,"Consumer Products & Services",7,2009,1,1,"Dallas","Frisco"
139,"https://www.inc.com/profile/primal-life-organics","Primal Life Organics","primallifeorganics.com","OH",4.7,284.5567,"Consumer Products & Services",38,2012,3,12,NA,"Copley"
140,"https://www.inc.com/profile/living-wellness-partners","Living Wellness Partners","buddhateas.com","CA",3.4,284.4806,"Food & Beverage",33,2013,1,15,"San Diego","Carlsbad"
